Details,QTY(PCS),Unit Price,Amount,日期,主播,INV
Ocean Jasper Turtle ,1,7,7,2023-05-28 00:00:00,小马,MC4774
Orange Calcite Duck ,1,8,8,2023-05-28 00:00:00,阿禾特,MC4774
"Chocolate Rhodocroshite Towers
2 Pieces(10.5+9.5)",1,20,20,2023-05-28 00:00:00,阿禾特,MC4774
RhodocroshiteTower ,1,16,16,2023-05-27 00:00:00,小马,MC4774
Fluorite Flame ,1,19,19,2023-05-27 00:00:00,小马,MC4774
"Blue Apatite Points 
6 Pieces",1,20,20,2023-05-25 00:00:00,小马,MC4774
Orange Calcite Tower ,1,20,20,2023-05-25 00:00:00,小马,MC4774
Carnelian Sphere ,1,7,7,2023-05-25 00:00:00,小马,MC4774
Chakra Chips Key Chain ,1,2,2,2023-05-25 00:00:00,小马,MC4774
Flower Agate Butterfly ,1,5,5,2023-05-25 00:00:00,小马,MC4774
Dragon Blood Stone Heart ,1,6,6,2023-05-25 00:00:00,阿禾特,MC4774
Smoy Quartz With PinkTourmaline Point ,1,8,8,2023-05-25 00:00:00,阿禾特,MC4774
 Fireworks Agate Free Form ,1,9,9,2023-05-25 00:00:00,阿禾特,MC4774
Blue Aventurine Dragon Turtle ,1,29,29,2023-05-25 00:00:00,阿禾特,MC4774
Mixed Crystal Bracelet,6,3,18,2023-05-22 00:00:00,小马,MC4774
Caribbean Calcite Sphere ,1,29,29,2023-05-09 00:00:00,阿禾特,MC4774
Druzy Agate Free Form ,1,12,12,2023-05-09 00:00:00,阿禾特,MC4774
"Amazonite Towers 
3 Pieces(25+12+13)",1,50,50,2023-05-09 00:00:00,阿禾特,MC4774
Wooden Stands ,1,4,4,2023-05-09 00:00:00,阿禾特,MC4774
925 silver Rings ,2,11,22,2023-05-09 00:00:00,阿禾特,MC4774
Hematite Bracelet ,1,4,4,2023-05-09 00:00:00,阿禾特,MC4774
Mixed Bracelets ,7,3,21,2023-05-08 00:00:00,小马,MC4774
Septarium Cat ,1,16,16,2023-05-08 00:00:00,小马,MC4774
Moss Agate & Piccasso Stone Mushroom,6,3,18,2023-05-07 00:00:00,阿禾特,MC4774
Mixed Crystal Moon,10,2,20,2023-05-07 00:00:00,阿禾特,MC4774
Black Obsidain Palm,0,0,0,2023-05-07 00:00:00,阿禾特,MC4774
Mixed Chips Tree With House ,6,3.5,21,2023-05-05 00:00:00,小马,MC4774
Blue Sandstone Tower ,1,21,21,2023-05-05 00:00:00,阿禾特,MC4774
Blue Sandstone Points ,2,6,12,2023-05-05 00:00:00,阿禾特,MC4774
Black Flower Agate aSphere ,1,19,19,2023-05-05 00:00:00,阿禾特,MC4774
Grey Moon Stone Free Form ,1,14,14,2023-05-05 00:00:00,阿禾特,MC4774
"Black banded Agate Hearts 
2 Pieces(11+5)",1,16,16,2023-05-05 00:00:00,阿禾特,MC4774
"Aura Bismuth Carvings 
4 Pieces(2*3+2*6)",1,18,18,2023-05-05 00:00:00,阿禾特,MC4774
Tiger's Eyes Ring ,1,4,4,2023-05-05 00:00:00,阿禾特,MC4774
Fluorite Mini carvings ,33,1,33,2023-05-05 00:00:00,阿禾特,MC4774
Fluorite Point ,1,6,6,2023-05-04 00:00:00,阿禾特,MC4774
Strawberry Quartz Bracelets ,2,2,4,2023-05-04 00:00:00,阿禾特,MC4774
Black Tourmaline Bracelets ,2,3.5,7,2023-05-04 00:00:00,阿禾特,MC4774
SchungiteBracelet ,1,12,12,2023-05-04 00:00:00,阿禾特,MC4774
PlanetStand ,1,3,3,2023-05-04 00:00:00,阿禾特,MC4774
Sandbeach Caribbean Calcite  Towers ,2,11,22,2023-05-04 00:00:00,阿禾特,MC4774
"Natural Color Green Chalcedony Towers
2 Pieces(14+8)",1,22,22,2023-05-04 00:00:00,阿禾特,MC4774
Fluorite Paw Ring,1,4,4,2023-05-03 00:00:00,0,MC4774
Sodalite Sphere With Stand 7%discount 80*0.93,1,74.4,74.4,2023-05-03 00:00:00,小马,MC4774
Petersite Round Slab ,1,12,12,2023-05-03 00:00:00,小马,MC4774
Mixed Earrings ,5,3,15,2023-05-03 00:00:00,小马,MC4774
Rhodonite &Ocean Jasper Elephants ,2,8,16,2023-05-03 00:00:00,小马,MC4774
Rose Quartz Ring,1,4,4,2023-05-02 00:00:00,小马,MC4774
Colorful Cat's Eye Egg,1,6,6,2023-05-02 00:00:00,小马,MC4774
Azurite Bracelet,1,6,6,2023-05-02 00:00:00,小马,MC4774
Dark Moon Stone & Amethyst Strawberry Quartz Bracelet(2*5+2*4),1,18,18,2023-05-02 00:00:00,阿禾特,MC4774
Raw Stone ,1,10,10,2023-05-02 00:00:00,阿禾特,MC4774
Sardonyx Eggs,2,10,20,2023-05-02 00:00:00,阿禾特,MC4774
Kunzite Sphere,1,18,18,2023-05-02 00:00:00,阿禾特,MC4774
"Druzy Quartz Hearts
2 Pieces(9+7)",1,16,16,2023-05-02 00:00:00,阿禾特,MC4774
Amethyst and Citrine Bracelet,2,4,8,2023-05-02 00:00:00,阿禾特,MC4774
Citrine Bracelet,2,3,6,2023-05-02 00:00:00,阿禾特,MC4774
Astrophylite Key Carving,1,8,8,2023-05-02 00:00:00,阿禾特,MC4774
"Banded AgateBracelets 
2 Pieces(16+8)",1,24,24,2023-04-30 00:00:00,斯蒂芬,MC4774
"PurpuritePoints 
4 Pieces(3*6+8)",1,24,24,2023-04-30 00:00:00,斯蒂芬,MC4774
Amazonite & Angel Blue Bracelet(4*2+9),1,17,17,2023-04-30 00:00:00,阿禾特,MC4774
Amethyst Clusters Hedgehog,3,3,9,2023-04-30 00:00:00,阿禾特,MC4774
Mixed Crystal Elephant,5,4,20,2023-04-30 00:00:00,阿禾特,MC4774
Mixed Fluorite Mini Carvings,12,1,12,2023-04-30 00:00:00,阿禾特,MC4774
Ocean Jasper Free Form,1,13,13,2023-04-30 00:00:00,小马,MC4774
Black Sardonyx Bracelet,1,9,9,2023-04-30 00:00:00,小马,MC4774
Purple Fluorite Chunck,1,5,5,2023-04-30 00:00:00,小马,MC4774
Tiffany FluoriteTower ,1,15,15,2023-04-29 00:00:00,小马,MC4774
Ceramic Bowl ,1,7,7,2023-04-29 00:00:00,小马,MC4774
Citrine Point ,1,5,5,2023-04-29 00:00:00,小马,MC4774
Copper Rutilated Quartz ,1,120,120,2023-04-28 00:00:00,小马,MC4774
Sardonyx Sphere ,1,7,7,2023-04-28 00:00:00,小马,MC4774
Green Fluorite Dragon Turtle ,1,25,25,2023-04-28 00:00:00,小马,MC4774
Selenite Palm,1,7,7,2023-04-28 00:00:00,小马,MC4774
Druzy Crazy Agate Sphere ,1,16,16,2023-04-28 00:00:00,小马,MC4774
Tiger Teeth Pendants,2,10,20,2023-04-28 00:00:00,阿禾特,MC4774
Sardonyx Spheres,2,5,10,2023-04-28 00:00:00,阿禾特,MC4774
Agate With Amethyst Tower ,1,15,15,2023-04-28 00:00:00,阿禾特,MC4774
REd Line Jasper Shark ,1,16,16,2023-04-27 00:00:00,小马,MC4774
"Azurite Raw Stones Bag 
3 Pieces",1,11,11,2023-04-27 00:00:00,小马,MC4774
Carnelian Flame ,1,8.5,8.5,2023-04-27 00:00:00,阿禾特,MC4774
"Carnelian Flames 
5 Pieces",1,16.5,16.5,2023-04-27 00:00:00,阿禾特,MC4774
Fluorite Point ,1,5.6,5.6,2023-04-27 00:00:00,阿禾特,MC4774
Banded AgateTumbles Bag ,1,17.5,17.5,2023-04-27 00:00:00,阿禾特,MC4774
Serpentine Tumbles Bag ,1,10,10,2023-04-27 00:00:00,阿禾特,MC4774
Orpiment And Realga Raw Heads ,2,6,12,2023-04-27 00:00:00,小马,MC4774
Amazonite Points ,2,7.5,15,2023-04-27 00:00:00,小马,MC4774
Phoneix Stone Sphere ,1,23,23,2023-04-27 00:00:00,小马,MC4774
White Banded Agate Sphere ,1,17,17,2023-04-27 00:00:00,小马,MC4774
Blue Calcite Geode ,1,24,24,2023-04-27 00:00:00,小马,MC4774
Moss Agate Sphere ,1,16.5,16.5,2023-04-27 00:00:00,小马,MC4774
Amethyst Raw Shone Box ,1,28,28,2023-04-27 00:00:00,小马,MC4774
Opalite Necklace ,1,4,4,2023-04-27 00:00:00,小马,MC4774
Labradorite Sphere ,1,15,15,2023-04-26 00:00:00,阿禾特,MC4774
Azurite Tower ,1,25,25,2023-04-26 00:00:00,阿禾特,MC4774
Blue Apatite Tower ,1,22,22,2023-04-26 00:00:00,阿禾特,MC4774
Resin No Face Men ,2,3,6,2023-04-25 00:00:00,斯蒂芬,MC4774
Black Tourmaline Raw Stones Bag ,1,14,14,2023-04-25 00:00:00,斯蒂芬,MC4774
Evil EyesNecklaces ,2,2,4,2023-04-25 00:00:00,斯蒂芬,MC4774
Mojave Bracelets ,3,4,12,2023-04-25 00:00:00,斯蒂芬,MC4774
"Tiffany Fluorite Towers
4 Pieces(3+3+5+6)",1,17,17,2023-04-25 00:00:00,斯蒂芬,MC4774
Rings ,6,2,12,2023-04-25 00:00:00,小马,MC4774
Banded Agate Tumbles ,2,2.5,5,2023-04-25 00:00:00,小马,MC4774
Scolecite Specimen ,1,16,16,2023-04-25 00:00:00,阿禾特,MC4774
